"Jahr","Swiss GHD DOY","Mittlere April-Juli-Temperatur","11-jährig gleitendes Temperaturmittel","oberer doppelter Standard-Temperaturschätzfehler","unterer doppelter Standard-Temperaturschätzfehler"
1656,292,0.004999999999999,0.449363636363636,1.44936363636364,-0.550636363636364
1657,286,0.568999999999999,0.36390909090909,1.36390909090909,-0.63609090909091
1658,295,-0.277000000000001,0.312636363636363,1.31263636363636,-0.687363636363637
1659,280,1.133,0.17590909090909,1.17590909090909,-0.82409090909091
1660,278,1.321,0.295545454545453,1.29554545454545,-0.704454545454547
1661,284,0.756999999999998,0.398090909090908,1.39809090909091,-0.601909090909092
1662,296,-0.371000000000002,0.312636363636362,1.31263636363636,-0.687363636363638
1663,300,-0.747,0.295545454545453,1.29554545454545,-0.704454545454547
1664,292,0.004999999999999,0.415181818181817,1.41518181818182,-0.584818181818183
1665,284,0.756999999999998,0.304090909090908,1.30409090909091,-0.695909090909092
1666,279,1.227,0.218636363636362,1.21863636363636,-0.781363636363638
1667,302,-0.935000000000002,0.133181818181817,1.13318181818182,-0.866818181818183
1668,288,0.381,0.0391818181818173,1.03918181818182,-0.960818181818183
1669,281,1.039,0.0904545454545446,1.09045454545454,-0.909545454545455
1670,293,-0.0890000000000022,-0.123181818181819,0.876818181818181,-1.12318181818182
1671,288,0.381,-0.0804545454545462,0.919545454545454,-1.08045454545455
1672,294,-0.183,-0.251363636363637,0.748636363636363,-1.25136363636364
1673,307,-1.405,-0.10609090909091,0.89390909090909,-1.10609090909091
1674,294,-0.183,-0.10609090909091,0.89390909090909,-1.10609090909091
1675,317,-2.345,-0.174454545454546,0.825545454545454,-1.17445454545455
1676,279,1.227,-0.140272727272728,0.859727272727272,-1.14027272727273
1677,299,-0.653000000000002,-0.251363636363637,0.748636363636363,-1.25136363636364
1678,285,0.663,-0.191545454545455,0.808454545454545,-1.19154545454546
1679,288,0.381,0.0819090909090899,1.08190909090909,-0.91809090909091
1680,289,0.286999999999999,0.107545454545454,1.10754545454545,-0.892454545454546
1681,289,0.286999999999999,0.45790909090909,1.45790909090909,-0.54209090909091
1682,301,-0.841000000000001,0.338272727272726,1.33827272727273,-0.661727272727274
1683,287,0.474999999999998,0.36390909090909,1.36390909090909,-0.63609090909091
1684,275,1.603,0.235727272727272,1.23572727272727,-0.764272727272728
1685,291,0.0990000000000002,0.150272727272726,1.15027272727273,-0.849727272727274
1686,276,1.509,0.133181818181817,1.13318181818182,-0.866818181818183
1687,293,-0.0890000000000022,-0.0804545454545466,0.919545454545453,-1.08045454545455
1688,296,-0.371000000000002,-0.0291818181818193,0.970818181818181,-1.02918181818182
1689,300,-0.747,-0.0462727272727283,0.953727272727272,-1.04627272727273
1690,298,-0.559000000000001,-0.371000000000001,0.628999999999999,-1.371
1691,291,0.0990000000000002,-0.439363636363638,0.560636363636362,-1.43936363636364
1692,314,-2.063,-0.593181818181819,0.406818181818181,-1.59318181818182
1693,295,-0.277000000000001,-0.823909090909092,0.176090909090908,-1.82390909090909
1694,289,0.286999999999999,-0.883727272727273,0.116272727272727,-1.88372727272727
1695,313,-1.969,-0.95209090909091,0.04790909090909,-1.95209090909091
1696,299,-0.653000000000002,-0.900818181818183,0.0991818181818173,-1.90081818181818
1697,294,-0.183,-0.960636363636365,0.0393636363636354,-1.96063636363636
1698,320,-2.627,-0.815363636363637,0.184636363636363,-1.81536363636364
1699,303,-1.029,-0.678636363636364,0.321363636363636,-1.67863636363636
1700,308,-1.499,-0.815363636363637,0.184636363636363,-1.81536363636364
1701,292,0.004999999999999,-0.533363636363637,0.466636363636363,-1.53336363636364
1702,298,-0.559000000000001,-0.490636363636364,0.509363636363636,-1.49063636363636
1703,297,-0.465,-0.405181818181819,0.594818181818181,-1.40518181818182
1704,279,1.227,-0.140272727272728,0.859727272727272,-1.14027272727273
1705,305,-1.217,0.022090909090908,1.02209090909091,-0.977909090909092
1706,280,1.133,0.0989999999999989,1.099,-0.901000000000001
1707,294,-0.183,0.150272727272726,1.15027272727273,-0.849727272727274
1708,284,0.756999999999998,0.133181818181817,1.13318181818182,-0.866818181818183
1709,289,0.286999999999999,0.107545454545454,1.10754545454545,-0.892454545454546
1710,284,0.756999999999998,0.0733636363636353,1.07336363636364,-0.926636363636365
1711,299,-0.653000000000002,0.0904545454545446,1.09045454545454,-0.909545454545455
1712,286,0.568999999999999,-0.00354545454545533,0.996454545454545,-1.00354545454546
1713,300,-0.747,0.252818181818181,1.25281818181818,-0.747181818181819
1714,300,-0.747,0.329727272727272,1.32972727272727,-0.670272727272728
1715,283,0.850999999999999,0.192999999999999,1.193,-0.807000000000001
1716,303,-1.029,0.133181818181818,1.13318181818182,-0.866818181818182
1717,291,0.0990000000000002,0.261363636363636,1.26136363636364,-0.738636363636364
1718,264,2.637,0.278454545454545,1.27845454545454,-0.721545454545455
1719,275,1.603,0.389545454545454,1.38954545454545,-0.610454545454546
1720,305,-1.217,0.398090909090908,1.39809090909091,-0.601909090909092
1721,291,0.0990000000000002,0.492090909090908,1.49209090909091,-0.507909090909092
1722,284,0.756999999999998,0.62881818181818,1.62881818181818,-0.37118181818182
1723,284,0.756999999999998,0.688636363636362,1.68863636363636,-0.311363636363638
1724,287,0.474999999999998,0.483545454545453,1.48354545454545,-0.516454545454547
1725,299,-0.653000000000002,0.312636363636362,1.31263636363636,-0.687363636363638
1726,272,1.885,0.449363636363635,1.44936363636363,-0.550636363636365
1727,287,0.474999999999998,0.474999999999999,1.475,-0.525000000000001
1728,284,0.756999999999998,0.45790909090909,1.45790909090909,-0.54209090909091
1729,288,0.381,0.440818181818181,1.44081818181818,-0.559181818181819
1730,295,-0.277000000000001,0.406636363636363,1.40663636363636,-0.593363636363637
1731,289,0.286999999999999,0.517727272727272,1.51772727272727,-0.482272727272728
1732,288,0.381,0.389545454545454,1.38954545454545,-0.610454545454546
1733,286,0.568999999999999,0.415181818181817,1.41518181818182,-0.584818181818183
1734,286,0.568999999999999,0.372454545454545,1.37245454545454,-0.627545454545455
1735,291,0.0990000000000002,0.286999999999999,1.287,-0.713000000000001
1736,286,0.568999999999999,0.295545454545454,1.29554545454545,-0.704454545454546
1737,287,0.474999999999998,0.17590909090909,1.17590909090909,-0.82409090909091
1738,284,0.756999999999998,0.0733636363636356,1.07336363636364,-0.926636363636364
1739,289,0.286999999999999,0.00499999999999933,1.005,-0.995000000000001
1740,298,-0.559000000000001,-0.0719090909090916,0.928090909090908,-1.07190909090909
1741,294,-0.183,-0.029181818181819,0.970818181818181,-1.02918181818182
1742,303,-1.029,-0.046272727272728,0.953727272727272,-1.04627272727273
1743,300,-0.747,-0.0890000000000006,0.910999999999999,-1.089
1744,294,-0.183,-0.148818181818182,0.851181818181818,-1.14881818181818
1745,295,-0.277000000000001,-0.148818181818182,0.851181818181818,-1.14881818181818
1746,286,0.568999999999999,-0.165909090909091,0.834090909090909,-1.16590909090909
1747,288,0.381,-0.200090909090909,0.799909090909091,-1.20009090909091
1748,292,0.004999999999999,-0.0804545454545459,0.919545454545454,-1.08045454545455
1749,291,0.0990000000000002,-0.0291818181818186,0.970818181818181,-1.02918181818182
1750,289,0.286999999999999,0.013545454545454,1.01354545454545,-0.986454545454546
1751,300,-0.747,-0.0291818181818186,0.970818181818181,-1.02918181818182
1752,298,-0.559000000000001,-0.0975454545454549,0.902454545454545,-1.09754545454545
1753,289,0.286999999999999,-0.165909090909091,0.834090909090909,-1.16590909090909
1754,294,-0.183,-0.0719090909090916,0.928090909090908,-1.07190909090909
1755,289,0.286999999999999,0.0220909090909083,1.02209090909091,-0.977909090909092
1756,300,-0.747,0.0648181818181809,1.06481818181818,-0.935181818181819
1757,294,-0.183,0.218636363636363,1.21863636363636,-0.781363636363637
1758,296,-0.371000000000002,0.252818181818181,1.25281818181818,-0.747181818181819
1759,281,1.039,0.244272727272726,1.24427272727273,-0.755727272727274
1760,280,1.133,0.235727272727272,1.23572727272727,-0.764272727272728
1761,284,0.756999999999998,0.192999999999999,1.193,-0.807000000000001
1762,282,0.945,0.17590909090909,1.17590909090909,-0.82409090909091
1763,294,-0.183,0.184454545454544,1.18445454545454,-0.815545454545456
1764,290,0.192999999999998,0.201545454545453,1.20154545454545,-0.798454545454547
1765,295,-0.277000000000001,0.0562727272727263,1.05627272727273,-0.943727272727274
1766,294,-0.183,-0.01209090909091,0.98790909090909,-1.01209090909091
1767,302,-0.935000000000002,-0.0548181818181826,0.945181818181817,-1.05481818181818
1768,293,-0.0890000000000022,-0.217181818181819,0.782818181818181,-1.21718181818182
1769,294,-0.183,-0.123181818181819,0.876818181818181,-1.12318181818182
1770,298,-0.559000000000001,-0.123181818181819,0.876818181818181,-1.12318181818182
1771,288,0.381,-0.0975454545454555,0.902454545454545,-1.09754545454546
