"Jahr","ß","d","Preis in d","Basel: in d","Basel: in g Ag","Basel: Roggen (hl in fl)","Strasbourg: in d","Strasbourg: Roggen (hl in fl)","Strasbourg: in g Ag (1)","Strasbourg: in g Ag (2)","Weizen V in d","Strasbourg: Weizen (hl in fl)","Nürnberg: Sümmer in d","Nürnberg: hl in d","Nürnberg: Sümmer in fl","Nürnberg: Roggen (hl in fl)","Köln: hl in g Ag","Köln: Malter in Mk","Köln: hl in Allbus","Köln: Roggen oder Weizen (hl in fl)"
1453,NA,NA,0,NA,NA,NA,39.5937338612498,0.314235983025792,11.362,9.7796522637287,NA,NA,253,79.559748427673,1.61,0.506289308176101,15.8536585365854,3.25,11.890243902439,0.495426829268293
1454,19,7,235,85.9829497640042,9.97402217262449,0.311532426681175,50.7832673437769,0.40304180431569,14.573,12.5434670339129,NA,NA,279,87.7358490566038,1.47,0.462264150943396,17.5609756097561,3.87,14.1585365853659,0.589939024390244
1455,NA,NA,0,NA,NA,NA,51.6440006885867,0.40987302133799,14.82,12.7560681700809,NA,NA,216,67.9245283018868,1.19,0.374213836477987,17.5609756097561,3.87,14.1585365853659,0.589939024390244
1456,NA,NA,0,NA,NA,NA,51.6440006885867,0.40987302133799,14.82,12.7560681700809,NA,NA,251,78.9308176100629,1.61,0.506289308176101,24.5121951219512,5.41,19.7926829268293,0.82469512195122
1457,40,11,491,179.649482272877,20.8393399436537,0.65090392127854,NA,NA,NA,NA,NA,NA,272,85.5345911949686,1.4,0.440251572327044,22.6829268292683,5,18.2926829268293,0.76219512195122
1458,29,1,349,127.693827521862,14.812483992536,0.462658795369064,NA,NA,NA,NA,85,0.580653446895485,263,82.7044025157233,1.46,0.459119496855346,15.8536585365854,3.5,12.8048780487805,0.533536585365854
1459,32,6,390,142.695108118986,16.5526325418024,0.517011261300673,61.972800826304,0.491847625605587,17.784,15.3072818040971,NA,NA,269,84.5911949685535,1.44,0.452830188679245,17.0121951219512,3.75,13.719512195122,0.571646341463415
1460,28,3,339,124.034978595734,14.3880575171051,0.449402096361354,45.6188672749182,0.362054502181891,13.091,11.2678602169048,91,0.621640749029284,268,84.2767295597484,1.22,0.383647798742138,18.9024390243902,4.16,15.219512195122,0.634146341463415
1461,20,NA,240,87.8123742270682,10.1862354103399,0.31816077618503,43.0366672404889,0.341560851114991,12.35,10.6300568084008,71,0.485016408583288,252,79.2452830188679,1.4,0.440251572327044,14.390243902439,3.16,11.5609756097561,0.481707317073171
1462,21,7,259,94.7641871867111,9.19212615711097,0.343348504299678,40.4544672060596,0.321067200048092,11.609,9.99225339989671,67,0.457691540494088,280,88.0503144654088,1.14,0.358490566037736,13.780487804878,3.04,11.1219512195122,0.463414634146341
1463,13,7,163,59.6392374958838,5.78500603710073,0.216084193825666,46.479600619728,0.36888571920419,13.338,11.4804613530728,58,0.39621058729339,223,70.125786163522,0.91,0.286163522012579,11.7073170731707,2.58,9.4390243902439,0.393292682926829
1464,14,NA,168,61.4686619589477,5.96246021001793,0.222712543329521,22.3790669650542,0.177611642579795,6.422,5.52762954036839,34,0.232261378758194,205,64.4654088050314,0.88,0.276729559748428,10.5487804878049,2.33,8.52439024390244,0.355182926829268
1465,NA,NA,0,NA,NA,NA,26.6827336891031,0.211767727691295,7.657,6.59063522120847,36,0.245923812802794,190,59.748427672956,0.81,0.254716981132075,15.8536585365854,3.5,12.8048780487805,0.533536585365854
1466,14,9,177,64.7616259924628,6.28187772126889,0.234643572436459,24.1005336546738,0.191274076624395,6.916,5.95283181270442,NA,NA,200,62.8930817610063,0.84,0.264150943396226,11.280487804878,2.48,9.07317073170732,0.378048780487805
1467,14,6,174,63.6639713146244,6.17540521751857,0.230666562734146,34.4293337923911,0.273248680891993,9.88,8.50404544672061,NA,NA,218,68.5534591194968,1.05,0.330188679245283,12.5,2.76,10.0975609756098,0.41553748870822
1468,19,3,231,84.5194101935531,8.19838278877465,0.306229747078091,33.5686004475813,0.266417463869693,9.633,8.29144431055259,NA,NA,280,88.0503144654088,1.45,0.455974842767296,17.4390243902439,4,14.6341463414634,0.585365853658537
1469,13,11,167,61.1027770663349,5.92696937543449,0.22138687342875,36.1508004820107,0.286911114936593,10.374,8.92924771905664,48,0.327898417070392,405,127.358490566038,1.78,0.559748427672956,17.4390243902439,4,14.6341463414634,0.585365853658537
1470,17,10,214,78.2993670191358,7.59503860085617,0.283693358764985,34.4293337923911,0.273248680891993,9.88,8.50404544672061,46,0.314235983025792,420,132.075471698113,1.39,0.437106918238994,14.3292682926829,3.36,12.2926829268293,0.48206599713056
1471,19,5,233,85.2511799787787,8.26936445794153,0.308881086879633,30.986400413152,0.245923812802794,8.892,7.65364090204855,46,0.314235983025792,316,99.3710691823899,1.25,0.393081761006289,13.719512195122,3.2,11.7073170731707,0.459110473457676
1472,15,NA,180,65.8592806703011,6.38835022501921,0.238620582138772,29.2649337235324,0.232261378758194,8.398,7.22843862971251,46,0.314235983025792,330,103.77358490566,1.26,0.39622641509434,12.6219512195122,3.04,11.1219512195122,0.422887879068905
1473,14,8,176,64.39574109985,6.24638688668545,0.233317902535688,33.5686004475813,0.266417463869693,9.633,8.29144431055259,NA,NA,350,110.062893081761,1.61,0.506289308176101,12.0731707317073,2.91,10.6463414634146,0.404803857924511
1474,19,11,239,87.4464893344554,8.48230946544217,0.316835106284259,NA,NA,NA,NA,NA,NA,365,114.779874213836,1.05,0.330188679245283,14.5121951219512,3.5,12.8048780487805,0.486877492349068
1475,18,9,225,82.3241008378764,7.98543778127401,0.274413669459588,28.4042003787227,0.225430161735894,8.151,7.0158374935445,40,0.273248680891993,223,70.125786163522,0.86,0.270440251572327,16.0975609756098,4,14.6341463414634,0.542005420054201
1476,NA,NA,0,NA,NA,NA,26.6827336891031,0.211767727691295,7.657,6.59063522120847,40,0.273248680891993,261,82.0754716981132,1.16,0.364779874213836,14.1463414634146,3.62,13.2439024390244,0.472996515679443
1477,27,6,330,120.742014562219,11.7119754125352,0.402473381874062,39.5937338612498,0.314235983025792,11.362,9.7796522637287,NA,NA,298,93.7106918238994,1.14,0.358490566037736,14.7560975609756,4.04,14.780487804878,0.509671993271657
1478,23,8,284,103.911309502031,10.287219640701,0.346371031673436,36.1508004820107,0.286911114936593,9.786,8.42313651230849,49,0.334729634092691,277,87.1069182389937,1.13,0.355345911949686,14.4512195121951,3.95,14.4512195121951,0.498317914213625
1479,31,3,375,137.206834729794,13.5834766382496,0.45735611576598,NA,NA,NA,NA,NA,NA,327,102.830188679245,1.38,0.433962264150943,15.1829268292683,4.29,15.6951219512195,0.523170731707317
1480,21,3,255,93.3006476162599,9.23676411400973,0.311002158720866,39.5937338612498,0.314235983025792,10.718,9.2253399896712,56,0.38254815324879,331,104.088050314465,1.15,0.361635220125786,14.8780487804878,4.2,15.3658536585366,0.51219512195122
1481,53,5,641,234.532216164795,23.2186894003147,0.781774053882649,94.6806679290756,0.751433872452981,25.63,22.0605956274746,134,0.915383080988177,284,89.3081761006289,1.48,0.465408805031447,21.4634146341463,6.29,23.0121951219512,0.742328874901652
1482,78,9,945,345.761223519081,34.230361128389,1.15253741173027,103.288001377173,0.819746042675979,27.96,24.0661043208814,129,0.881226995876677,511,160.691823899371,2.59,0.814465408805031,21.4634146341463,6.29,23.0121951219512,0.742328874901652
1483,25,7,307,112.326662032125,11.1203395411803,0.374422206773749,68.8586675847822,0.546497361783986,18.64,16.0440695472543,100,0.683121702229982,584,183.647798742138,1.48,0.465408805031447,16.5853658536585,4.68,17.1219512195122,0.561375449820072
1484,23,5,281,102.813654824192,10.178551827595,0.342712182747308,27.5434670339129,0.218598944713594,7.456,6.4176278189017,71,0.485016408583288,360,113.207547169811,1.24,0.389937106918239,10.3048780487805,2.91,10.6463414634146,0.34906037584966
1485,17,6,210,76.8358274486847,7.60674691741978,0.256119424828949,30.1256670683422,0.239092595780494,8.155,7.01928042692374,54,0.368885719204191,370,116.352201257862,1.4,0.440251572327044,10.8536585365854,3.16,11.5609756097561,0.370544090056285
1486,34,8,416,152.208115326918,15.0686034173649,0.50736038442306,47.3403339645378,0.37571693622649,12.815,11.0302978137373,70,0.478185191560988,374,117.610062893082,1.65,0.518867924528302,16.1585365853659,4.91,17.9634146341463,0.561356707317073
